time_s,phase,alpha_command_deg,alpha_actual_deg,theta_actual_deg,position_cm,velocity_cm_s,acceleration_m_s2
1.6269999999999316,5.0,35.0,32.25908481989411,4.6895392598920775,4.608066177070971,-6.412345011672856,-0.5012382715005851
1.6279999999999315,5.0,35.0,32.298240751038485,4.694159087509842,4.601603680635192,-6.462496435779097,-0.5015142410624169
1.6289999999999314,5.0,35.0,32.33683731173794,4.698708697458459,4.59509100603235,-6.512674602841625,-0.5017816706252856
1.6299999999999313,5.0,35.0,32.37488249299882,4.70318920592778,4.588528127359676,-6.562878672674444,-0.5020406983281878
1.6309999999999312,5.0,35.0,32.41238417167027,4.707601710228213,4.581915019541004,-6.613107818671865,-0.5022914599742132
1.631999999999931,5.0,35.0,32.44935011207498,4.711947289132375,4.575251658313425,-6.663361227579145,-0.5025340890728063
1.632999999999931,5.0,35.0,32.485787967616766,4.716227003210403,4.568538020214158,-6.713638099267269,-0.502768716881242
1.6339999999999308,5.0,35.0,32.5217052823651,4.7204418951587765,4.561774082567646,-6.763937646511799,-0.5029954724452994
1.6349999999999307,5.0,35.0,32.55710949261702,4.724592990122996,4.5549598234728705,-6.814259094775715,-0.5032144826391715
1.6359999999999306,5.0,35.0,32.59200792843678,4.728681296014132,4.5480952217908746,-6.864601681996177,-0.503425872204618
1.6369999999999305,5.0,35.0,32.626407815173394,4.732707803819395,4.5411802571325,-6.914964658375114,-0.5036297637893774
1.6379999999999304,5.0,35.0,32.66031627495663,4.736673487906707,4.534214909846326,-6.965347286173598,-0.5038262779848359
1.6389999999999303,5.0,35.0,32.693740328171536,4.740579306323653,4.527199161006816,-7.015748839509898,-0.5040155333630001
1.6399999999999302,5.0,35.0,32.72668689491194,4.744426201090633,4.5201329924026545,-7.066168604161175,-0.5041976465127527
1.64099999999993,5.0,35.0,32.7591627964132,4.748215098488519,4.513016386525286,-7.116605877368717,-0.5043727320754274
1.64199999999993,5.0,35.0,32.79117475646444,4.751946909340814,4.50584932655764,-7.167059967646688,-0.5045409027797029
1.6429999999999298,5.0,35.0,32.82272940280067,4.755622529290491,4.498631796363046,-7.217530194594272,-0.5047022694758391
1.6439999999999297,5.0,35.0,32.85383326847494,4.759242839071575,4.491363780474335,-7.268015888711199,-0.5048569411692623
1.6449999999999296,5.0,35.0,32.88449279321102,4.762808704775514,4.484045264083118,-7.31851639121655,-0.5050050250535058
1.6459999999999295,5.0,35.0,32.91471432473657,4.766320978112573,4.476676233029248,-7.3690310538708035,-0.5051466265425344
1.6469999999999294,5.0,35.0,32.94450412009748,4.769780496668265,4.469256673790446,-7.419559238801049,-0.5052818493024543
1.6479999999999293,5.0,35.0,32.973868346953225,4.773188084154823,4.461786573472117,-7.470100318329311,-0.5054107952826107
1.6489999999999292,5.0,35.0,33.00281308485389,4.776544550658032,4.454265919797313,-7.520653674803921,-0.5055335647461104
1.649999999999929,5.0,35.0,33.03134432649883,4.779850692879307,4.446694701096879,-7.5712187004338976,-0.505650256299756
1.650999999999929,5.0,35.0,33.05946797897742,4.783107294373195,4.439072906299754,-7.621794797126238,-0.5057609669234152
1.6519999999999289,5.0,35.0,33.087189864992034,4.786315125780391,4.431400524923427,-7.672381376326122,-0.5058657919988342
1.6529999999999287,5.0,35.0,33.11451572406358,4.789474945056346,4.4236775470645675,-7.722977858859912,-0.5059648253379062
1.6539999999999286,5.0,35.0,33.14145121371981,4.792587497695521,4.415903963389786,-7.773583674780952,-0.5060581592104014
1.6549999999999285,5.0,35.0,33.168001910666675,4.795653516951445,4.408079765126568,-7.8241982632180695,-0.506145884371178
1.6559999999999284,5.0,35.0,33.19417331194286,4.798673724052589,4.400204944054341,-7.874821072226758,-0.5062280900868762
1.6569999999999283,5.0,35.0,33.21997083605796,4.801648828414143,4.392279492495698,-7.925451558642968,-0.5063048641621041
1.6579999999999282,5.0,35.0,33.24539982411427,4.804579527845831,4.384303403307759,-7.976089187939482,-0.506376292965136
1.658999999999928,5.0,35.0,33.27046554091264,4.80746650875578,4.376276669873674,-8.026733434084795,-0.5064424614531206
1.659999999999928,5.0,35.0,33.29517317604246,4.810310446350581,4.36819928609427,-8.077383779404476,-0.5065034531968196
1.6609999999999279,5.0,35.0,33.31952784495614,4.813112004831522,4.360071246379825,-8.128039714444963,-0.5065593504048727
1.6619999999999278,5.0,35.0,33.3435345900282,4.815871837587185,4.351892545641984,-8.178700737839725,-0.5066102339476127
1.6629999999999276,5.0,35.0,33.36719838159922,4.818590587382397,4.343663179285807,-8.229366356177769,-0.5066561833804304
1.6639999999999275,5.0,35.0,33.39052411900495,4.821268886543612,4.335383143201932,-8.280036083874439,-0.5066972769666979
1.6649999999999274,5.0,35.0,33.413516631590596,4.823907357140863,4.327052433758888,-8.330709443044466,-0.5067335917002679
1.6659999999999273,5.0,35.0,33.43618067971073,4.826506611166236,4.318671047795511,-8.38138596337722,-0.5067652033275432
1.6669999999999272,5.0,35.0,33.45852095571486,4.8290672507090395,4.310238982613497,-8.432065182014133,-0.5067921863691374
1.667999999999927,5.0,35.0,33.48054208491893,4.831589868127715,4.3017562359700685,-8.482746643428246,-0.5068146141411338
1.668999999999927,5.0,35.0,33.502248626562945,4.834075046218448,4.293222806070763,-8.53342989930584,-0.5068325587759345
1.6699999999999269,5.0,35.0,33.5236450747549,4.836523358380747,4.284638691562333,-8.584114508430114,-0.5068460912427367
1.6709999999999268,5.0,35.0,33.544735859401264,4.8389353687798025,4.276003891525766,-8.634800036566876,-0.5068552813676096
1.6719999999999267,5.0,35.0,33.5655253471241,4.841311632505937,4.267318405469414,-8.685486056352197,-0.5068601978532132
1.6729999999999265,5.0,35.0,33.586017842165184,4.843652695730997,4.258582233322232,-8.736172147182012,-0.5068609082981371
1.6739999999999264,5.0,35.0,33.60621758727711,4.845959095861861,4.249795375427128,-8.7868578951036,-0.5068574792158846
1.6749999999999263,5.0,35.0,33.626128764601724,4.848231361691141,4.240957832534419,-8.837542892708951,-0.5068499760535098
1.6759999999999262,5.0,35.0,33.64575549653598,4.850470013544998,4.232069605795389,-8.88822673902994,-0.5068384632098968
1.676999999999926,5.0,35.0,33.66510184658547,4.85267556342831,4.223130696755954,-8.938909039435313,-0.5068230040537128
1.677999999999926,5.0,35.0,33.68417182020568,4.854848515167049,4.214141107350424,-8.989589405529413,-0.5068036609410163
1.6789999999999259,5.0,35.0,33.70296936563131,4.856989364548127,4.205100839895371,-9.040267455052668,-0.5067804952325515
1.6799999999999258,5.0,35.0,33.721498374693724,4.859098599456585,4.196009897083587,-9.090942811783739,-0.5067535673107156
1.6809999999999257,5.0,35.0,33.73976268362667,4.8611767000102795,4.1868682819781435,-9.14161510544336,-0.5067229365962159
1.6819999999999256,5.0,35.0,33.75776607386058,4.863224138692086,4.177675998006544,-9.192283971599803,-0.5066886615644208
1.6829999999999254,5.0,35.0,33.77551227280543,4.8652413804796595,4.1684330489549675,-9.242949051575945,-0.5066507997614079
1.6839999999999253,5.0,35.0,33.793004954622496,4.867228882972807,4.15913943896261,-9.293609992357915,-0.5066094078197182
1.6849999999999252,5.0,35.0,33.810247740985034,4.869187096518528,4.149795172516105,-9.344266446505298,-0.5065645414738214
1.6859999999999251,5.0,35.0,33.8272442018281,4.871116464333781,4.1404002544440415,-9.394918072062827,-0.5065162555752998
1.686999999999925,5.0,35.0,33.8439978560877,4.87301742262596,4.130954689911568,-9.445564532473602,-0.5064646041077511
1.687999999999925,5.0,35.0,33.8605121724293,4.874890400711195,4.121458484415074,-9.496205496493744,-0.5064096402014187
1.6889999999999248,5.0,35.0,33.876790569966026,4.876735821130488,4.111911643776966,-9.5468406381085,-0.5063514161475593
1.6899999999999247,5.0,35.0,33.89283641896651,4.878554099763729,4.102314174140516,-9.597469636449754,-0.5062899834125445
1.6909999999999246,5.0,35.0,33.908653041552704,4.880345645941647,4.0926660819648015,-9.648092175714924,-0.5062253926517086
1.6919999999999245,5.0,35.0,33.924243712387664,4.882110862555672,4.082967374019715,-9.698707945087218,-0.5061576937229391
1.6929999999999243,5.0,35.0,33.93961165935355,4.883850146165905,4.073218057381057,-9.749316638657222,-0.5060869357000325
1.6939999999999242,5.0,35.0,33.95476006421993,4.885563887107018,4.063418139425711,-9.799917955345801,-0.5060131668857943
1.6949999999999241,5.0,35.0,33.9696920633025,4.887252469592296,4.053567627826883,-9.850511598828291,-0.5059364348249096
1.695999999999924,5.0,35.0,33.98441074811247,4.888916271815811,4.043666530549423,-9.90109727745995,-0.505856786316583
1.696999999999924,5.0,35.0,33.998919165996575,4.890555666052695,4.03371485584522,-9.951674704202643,-0.5057742674269434
1.6979999999999238,5.0,35.0,34.013220320768056,4.892171018757667,4.0237126122486675,-10.002243596552768,-0.5056889235012327
1.6989999999999237,5.0,35.0,34.02731717332851,4.893762690661715,4.013659808572197,-10.052803676470344,-0.5056007991757681
1.6999999999999236,5.0,35.0,34.04121264228096,4.895331036867134,4.003556453901888,-10.103354670309313,-0.505509938389698
1.7009999999999235,5.0,35.0,34.05490960453409,4.896876406940761,3.993402557593139,-10.153896308748967,-0.5054163843965391
1.7019999999999234,5.0,35.0,34.06841089589789,4.8983991450056035,3.9831981292664125,-10.20442832672652,-0.5053201797755121
1.7029999999999232,5.0,35.0,34.08171931167078,4.899899589830804,3.9729431788030416,-10.254950463370786,-0.5052213664426725
1.7039999999999231,5.0,35.0,34.094837607218345,4.901378074919998,3.9626377163411046,-10.30546246193697,-0.505119985661843
1.704999999999923,5.0,35.0,34.1077684985438,4.902834928598104,3.9522817522713622,-10.355964069742505,-0.5050160780553526
1.705999999999923,5.0,35.0,34.12051466285032,4.904270474096547,3.9418752972332585,-10.406455038103964,-0.504909683614582
1.7069999999999228,5.0,35.0,34.13307873909531,4.905685029636995,3.9314183621109833,-10.456935122274997,-0.5048008417103237
1.7079999999999227,5.0,35.0,34.145463328536806,4.907078908513588,3.9209109580295975,-10.507404081385292,-0.5046895911029577
1.7089999999999226,5.0,35.0,34.15767099527199,4.90845241917371,3.910353096351217,-10.557861678380537,-0.5045759699524465
1.7099999999999225,5.0,35.0,34.16970426676811,4.909805865297349,3.8997447886712533,-10.608307679963353,-0.5044600158281554
1.7109999999999224,5.0,35.0,34.181565634385706,4.911139545875008,3.889086046814718,-10.658741856535201,-0.5043417657184935
1.7119999999999223,5.0,35.0,34.19325755389448,4.912453755284332,3.8783768828325784,-10.709163982139241,-0.504221256040397
1.7129999999999221,5.0,35.0,34.20478244598171,4.913748783365252,3.8676173089981747,-10.759573834404105,-0.5040985226486282
1.713999999999922,5.0,35.0,34.216142696753394,4.91502491549393,3.8568073378036862,-10.809971194488597,-0.5039736008449259
1.714999999999922,5.0,35.0,34.22734065822834,4.916282432655359,3.8459469819566583,-10.860355847027295,-0.5038465253869922
1.7159999999999218,5.0,35.0,34.23837864882508,4.917521611514648,3.8350362543765817,-10.910727580077026,-0.5037173304973125
1.7169999999999217,5.0,35.0,34.24925895384187,4.918742724487119,3.8240751681915173,-10.96108618506421,-0.5035860498718336
1.7179999999999216,5.0,35.0,34.259983825929844,4.919946039807185,3.813063736734784,-11.011431456733058,-0.503452716688486
1.7189999999999215,5.0,35.0,34.27055548555942,4.921131821595923,3.8020019735416897,-11.061763193094611,-0.50331736361555
1.7199999999999214,5.0,35.0,34.28097612148,4.92230032992763,3.790889892346313,-11.112081195376602,-0.5031800228198912
1.7209999999999213,5.0,35.0,34.29124789117314,4.9234518208950675,3.7797275070783383,-11.162385267974106,-0.5030407259750378
1.7219999999999211,5.0,35.0,34.30137292129924,4.924586546673655,3.768514831859937,-11.212675218401017,-0.502899504269126
1.722999999999921,5.0,35.0,34.311353308137825,4.925704755584572,3.757251881002695,-11.26295085724229,-0.5027563884127109
1.723999999999921,5.0,35.0,34.321191118021574,4.926806692156671,3.745938669004588,-11.313211998106933,-0.50261140864643
1.7249999999999208,5.0,35.0,34.33088838776412,4.9278925971874035,3.734575210547006,-11.363458457581787,-0.5024645947485462
1.7259999999999207,5.0,35.0,34.34044712508177,4.9289627078026825,3.7231615204918196,-11.413690055186024,-0.5023159760423571
1.7269999999999206,5.0,35.0,34.34986930900918,4.930017257515681,3.711697613878493,-11.463906613326373,-0.5021655814034741
1.7279999999999205,5.0,35.0,34.359156890309045,4.9310564762846205,3.7001835059212405,-11.514107957253069,-0.5020134392669773
1.7289999999999204,5.0,35.0,34.36831179187606,4.932080590569631,3.688619212006224,-11.564293915016515,-0.5018595776344537
1.7299999999999203,5.0,35.0,34.37733590913497,4.933089823388546,3.6770047476887986,-11.614464317424606,-0.5017040240809048
1.7309999999999202,5.0,35.0,34.386231110433044,4.934084394371787,3.665340128690798,-11.66461899800076,-0.501546805761543
1.73199999999992,5.0,35.0,34.39499923742686,4.935064519816306,3.6536253708978554,-11.714757792942606,-0.5013879494184681
1.73299999999992,5.0,35.0,34.40364210546362,4.936030412738633,3.641860490356774,-11.76488054108133,-0.5012274813872367
1.7339999999999198,5.0,35.0,34.412161503956995,4.936982282926939,3.6300455032729326,-11.814987083841661,-0.5010654276033077
1.7349999999999197,5.0,35.0,34.42055919675761,4.93792033699232,3.6181804260077306,-11.865077265202501,-0.5009018136083926
1.7359999999999196,5.0,35.0,34.428836922518215,4.938844778419114,3.6062652750760726,-11.91515093165817,-0.5007366645566846
1.7369999999999195,5.0,35.0,34.43699639505367,4.939755807614427,3.5943000671438923,-11.965207932180268,-0.5005700052209927
1.7379999999999194,5.0,35.0,34.44503930369576,4.9406536219568,3.582284819025712,-12.015248118180146,-0.5004018599987666
1.7389999999999193,5.0,35.0,34.45296731364296,4.941538415844018,3.57021954768224,-12.065271343471947,-0.5002322529180174
1.7399999999999192,5.0,35.0,34.4607820663052,4.9424103807401885,3.5581042702180037,-12.115277464236263,-0.5000612076431474
1.740999999999919,5.0,35.0,34.4684851796437,4.943269705221942,3.5459390038790195,-12.16526633898433,-0.4998887474806711
